state,2020 Population,Congregations,Adherents
Alabama,5024279,10756,3195509
Alaska,733391,1264,258020
Arizona,7151502,5244,3151361
Arkansas,3011524,7428,1739575
California,39538223,23567,17726437
Colorado,5773714,4333,2044440
Connecticut,3605944,2889,1708179
Delaware,989948,966,409412
District Of Columbia,689545,751,389241
Florida,21538187,17511,10140053
Georgia,10711908,12891,5439946
Hawaii,1455271,1424,603730
Idaho,1839106,2534,969901
Illinois,12812508,12153,6510363
Indiana,6785528,9028,2859439
Iowa,3190369,4822,1431349
Kansas,2937880,4624,1352241
Kentucky,4505836,8143,2226288
Louisiana,4657757,6600,2949420
Maine,1362359,1574,419523
Maryland,6177224,5715,2685338
Massachusetts,7029917,4357,3419370
Michigan,10077331,9694,3998585
Minnesota,5706494,5970,2824374
Mississippi,2961279,7182,1759935
Missouri,6154913,9058,2979494
Montana,1084225,1766,377713
Nebraska,1961504,2856,966578
Nevada,3104614,1540,1291778
New Hampshire,1377529,1048,374948
New Jersey,9288994,6071,4846460
New Mexico,2117522,2405,1111977
New York,20201249,13828,10347548
North Carolina,10439388,16200,5443737
North Dakota,779094,1452,428647
Ohio,11799448,13906,5646238
Oklahoma,3959353,7166,2422123
Oregon,4237256,4072,1405973
Pennsylvania,13002700,15135,6097345
Rhode Island,1097379,708,565251
South Carolina,5118425,8205,2695900
South Dakota,886667,1944,491026
Tennessee,6910840,13397,3844957
Texas,29145505,29750,16045479
Utah,3271616,6018,2489571
Vermont,643077,823,242017
Virginia,8631393,10465,3970305
Washington,7705281,6196,3184751
West Virginia,1793716,4072,677633
Wisconsin,5893718,6183,2831594
Wyoming,576851,958,233016
,,,
,331449281,356642,161224088
