state,number_food_insecure_household
U.S.,130708000
AK,269000
AL,2039000
AR,1289000
AZ,2929000
CA,14165000
CO,2345000
CT,1441000
DC,342000
DE,387000
FL,9274000
GA,4179000
HI,487000
IA,1316000
ID,695000
IL,5015000
IN,2757000
KS,1157000
KY,1867000
LA,1880000
MA,2812000
MD,2301000
ME,571000
MI,4142000
MN,2303000
MO,2503000
MS,1174000
MT,474000
NC,4450000
ND,331000
NE,792000
NH,554000
NJ,3426000
NM,865000
NV,1220000
NY,7774000
OH,4816000
OK,1591000
OR,1761000
PA,5063000
RI,430000
SC,2180000
SD,367000
TN,2826000
TX,10766000
UT,1139000
VA,3412000
VT,279000
WA,3096000
WI,2483000
WV,740000
WY,233000
