,state,2020 Population,Congregations,Adherents,Number of CoCs,"Overall Homeless, 2022","Overall Homeless - Under 18, 2022","Overall Homeless - Age 18 to 24, 2022","Overall Homeless - Over 24, 2022","Unsheltered Homeless, 2022","Unsheltered Homeless - Under 18, 2022","Unsheltered Homeless - Age 18 to 24, 2022","Unsheltered Homeless - Over 24, 2022",2020,Number,foster,Non-Elderly Population,Non-Elderly Uninsured Population,Age 0-18,Age 19-34,Age 35-49,Age 50-64,Male,Female,number_food_insecure_household,"Moderately
Burdened
Renter
Households","Severely
Burdened
Renter
Households"
0,Alabama,5024279.0,10756.0,3195509.0,8,3752,790,217,2745,1580,271,53,1256,2021,Number,5341,4155300,521500,50900,210800,154400,105400,289300,232100,2039000,117138,142202
1,Alaska,733391.0,1264.0,258020.0,2,2320,328,203,1789,357,20,22,315,2021,Number,2828,635600,75000,13500,31400,14600,15500,42600,32500,269000,16376,16197
2,Arizona,7151502.0,5244.0,3151361.0,3,13553,1723,1084,10746,8027,338,711,6978,2021,Number,14890,5940000,784400,146700,274700,205300,157600,446900,337500,2929000,201846,219285
3,Arkansas,3011524.0,7428.0,1739575.0,5,2459,243,243,1973,1296,87,133,1076,2021,Number,4515,2501200,290900,40800,112600,82700,54800,173400,117500,1289000,77026,88182
4,California,39538223.0,23567.0,17726437.0,44,171521,15439,10896,145186,115491,2523,6734,106234,2021,Number,47871,33273200,2748900,327700,1007000,848100,566100,1606500,1142400,14165000,1488814,1733265
5,Colorado,5773714.0,4333.0,2044440.0,4,10397,1339,575,8483,3156,44,85,3027,2021,Number,4248,4930600,466400,61100,175000,146800,83500,271600,194800,2345000,178875,197954
6,Connecticut,3605944.0,2889.0,1708179.0,2,2930,560,205,2165,294,0,18,276,2021,Number,3488,2955300,181200,20400,62800,62500,35500,106400,74800,1441000,108163,124586
7,Delaware,989948.0,966.0,409412.0,1,2369,769,200,1400,154,5,15,134,2021,Number,444,804200,60300,7300,21900,16700,14400,35400,24900,387000,26361,26299
8,Florida,21538187.0,17511.0,10140053.0,27,25959,4189,1222,20548,11746,443,383,10920,2021,Number,23507,17182000,2682500,333800,973600,767600,607500,1512700,1169800,9274000,681324,788578
9,Georgia,10711908.0,12891.0,5439946.0,9,10689,1785,616,8288,5535,261,249,5025,2021,Number,10504,9213900,1411600,176900,546700,412100,275800,779800,631800,4179000,319285,334852
10,Hawaii,1455271.0,1424.0,603730.0,2,5967,865,305,4797,3743,170,168,3405,2021,Number,1418,1159100,50800,8100,18000,13100,11700,29500,21400,487000,46106,52682
11,Idaho,1839106.0,2534.0,969901.0,2,1998,459,132,1407,888,216,79,593,2021,Number,1601,1586000,162400,32300,54800,44000,31300,92100,70300,695000,40401,42831
12,Illinois,12812508.0,12153.0,6510363.0,19,9212,1902,897,6413,1901,6,101,1794,2021,Number,21086,10566100,873300,93300,319200,269300,191400,506000,367300,5015000,362278,436009
13,Indiana,6785528.0,9028.0,2859439.0,2,5449,1012,335,4102,799,13,45,741,2021,Number,13239,5689300,510300,98100,186500,127100,98500,287000,223300,2757000,169157,185973
14,Iowa,3190369.0,4822.0,1431349.0,3,2419,485,165,1769,406,64,27,315,2021,Number,4144,2625700,160700,27800,56700,47000,29300,92200,68500,1316000,67707,78020
15,Kansas,2937880.0,4624.0,1352241.0,5,2397,369,161,1867,698,37,34,627,2021,Number,7085,2446300,269500,38500,97800,77300,55800,153800,115700,1157000,81496,79179
